Name, Magic, Cunning, Courage, Wisdom, Temper
'Harry Potter',62, 21,42,26,7
'Hermione Granger',60,16,40,73,2
'Ron Weasley',45,14,40,22,4
'Prof. Dumbledore',105,24,39,82,0
'Prof. Snape',85,24,19,71,7
'Prof. McGonagail',95,19,29,76,5
'Prof. Moody',82,20,35,69,5
'Rubeus Hagrid',12,11,30,8,7
'Fred Weasley',87,13,30,22,4
'George Weasley',87,13,30,22,4
'Arthur Weasley',62,5,29,60,2
'Vincent Crabbe',10,13,8,4,7
'Draco Malfoy',42,22,10,12,9
'Gregory Goyle',10,14,7,2,8
'Padma Patil',24,9,23,13,1
'Parvati Patil',24,11,23,15,2
'Fleur Delacour',59,19,36,54,6
'Cho Chang',40,8,25,31,3
'Cedric Diggory',58,23,40,55,2
'Viktor Krum',56,22,38,30,7
'Neville Longbottom,24,9,28,15,2
'Lucius Malfoy',88,24,10,60,9